0,1,2,6,7,8,9,10,12,13,14,15
1,59 ,171 ,63 ,62 ,64 ,167 ,66 ,16 ,78 ,61 ,90 
2,64 ,192 ,70 ,64 ,84 ,222 ,82 ,21 ,83 ,72 ,110 
6,28 ,69 ,47 ,47 ,43 ,81 ,38 ,10 ,32 ,36 ,77 
7,35 ,84 ,62 ,48 ,47 ,99 ,42 ,11 ,37 ,41 ,80 
8,37 ,112 ,68 ,58 ,75 ,140 ,68 ,17 ,53 ,62 ,113 
9,49 ,138 ,60 ,56 ,80 ,183 ,82 ,26 ,65 ,61 ,96 
10,29 ,99 ,45 ,39 ,60 ,167 ,66 ,19 ,54 ,50 ,73 
12,19 ,66 ,29 ,25 ,37 ,112 ,50 ,11 ,30 ,41 ,53 
13,41 ,119 ,43 ,40 ,49 ,116 ,56 ,13 ,60 ,59 ,73 
14,55 ,172 ,87 ,78 ,104 ,194 ,90 ,33 ,98 ,128 ,167 
15,99 ,293 ,201 ,157 ,202 ,361 ,174 ,45 ,138 ,189 ,292 
